PositiveTrainSet,NegativeTrainSet,NeutralTrainSet,FeatureSetCode,TestSetLimit,Iteration,Accuracy,PrecisionPositive,PrecisionNegative,PrecisionNeutral,RecallPositive,RecallNegative,RecallNeutral,fScorePositive,fScoreNegative,fScoreAverage
1176,538,1723,12284,15,0,0.5256,0.4214,0.5997,0.5458,0.5213,0.327,0.5458,0.466,0.4232,0.4446
4153,1298,4864,12284,15,1,0.5121,0.455,0.7203,0.5147,0.3836,0.0778,0.5147,0.4162,0.1404,0.2783
3730,793,5792,12284,15,2,0.4972,0.4727,0.6812,0.4989,0.2547,0.0118,0.4989,0.331,0.0232,0.1771
3220,651,6444,12284,15,3,0.4962,0.4935,0.64,0.4961,0.2076,0.004,0.4961,0.2922,0.008,0.1501
2934,618,6763,12284,15,4,0.496,0.5017,0.6129,0.4952,0.1882,0.0048,0.4952,0.2738,0.0096,0.1417
2789,615,6911,12284,15,5,0.497,0.5,0.5854,0.4964,0.2076,0.006,0.4964,0.2934,0.0118,0.1526
2810,615,6890,12284,15,6,0.4972,0.4986,0.6053,0.4967,0.2215,0.0058,0.4967,0.3068,0.0114,0.1591
2847,615,6853,12284,15,7,0.4967,0.4962,0.5833,0.4965,0.2223,0.0053,0.4965,0.307,0.0106,0.1588
2854,615,6846,12284,15,8,0.4973,0.4995,0.5833,0.4968,0.2257,0.0053,0.4968,0.311,0.0106,0.1608
2858,615,6842,12284,15,9,0.4975,0.4986,0.5833,0.4971,0.2274,0.0053,0.4971,0.3124,0.0106,0.1615
2859,615,6841,12284,15,10,0.4975,0.4986,0.5833,0.4971,0.2278,0.0053,0.4971,0.3128,0.0106,0.1617
