PositiveTrainSet,NegativeTrainSet,NeutralTrainSet,FeatureSetCode,TestSetLimit,Iteration,Accuracy,PrecisionPositive,PrecisionNegative,PrecisionNeutral,RecallPositive,RecallNegative,RecallNeutral,fScorePositive,fScoreNegative,fScoreAverage
1176,538,1723,12284,15,0,0.5234,0.4397,0.595,0.5285,0.3621,0.25,0.5285,0.3972,0.352,0.3746
3176,1180,5959,12284,15,1,0.498,0.4744,0.6736,0.4966,0.152,0.0327,0.4966,0.2302,0.0624,0.1463
2357,635,7323,12284,15,2,0.4927,0.4791,0.5977,0.4926,0.1255,0.0131,0.4926,0.1988,0.0256,0.1122
