PositiveTrainSet,NegativeTrainSet,NeutralTrainSet,FeatureSetCode,TestSetLimit,Iteration,Accuracy,PrecisionPositive,PrecisionNegative,PrecisionNeutral,RecallPositive,RecallNegative,RecallNeutral,fScorePositive,fScoreNegative,fScoreAverage
1176,538,1723,12284,15,0,0.5258,0.4445,0.5604,0.5373,0.3928,0.327,0.5373,0.417,0.413,0.415
3423,1455,5437,12284,15,1,0.4979,0.4613,0.6995,0.4963,0.1305,0.0375,0.4963,0.2034,0.0712,0.1373
