PositiveTrainSet,NegativeTrainSet,NeutralTrainSet,FeatureSetCode,TestSetLimit,Iteration,Accuracy,PrecisionPositive,PrecisionNegative,PrecisionNeutral,RecallPositive,RecallNegative,RecallNeutral,fScorePositive,fScoreNegative,fScoreAverage
1176,538,1723,12284,15,0,0.5324,0.459,0.6059,0.5332,0.3583,0.2671,0.5332,0.4024,0.3708,0.3866
3221,1199,5895,12284,15,1,0.5007,0.4843,0.6923,0.4963,0.1103,0.0544,0.4963,0.1796,0.1008,0.1402
2146,665,7504,12284,15,2,0.4945,0.4907,0.6887,0.4921,0.0884,0.0262,0.4921,0.1498,0.0504,0.1001
1987,632,7696,12284,15,3,0.4941,0.4634,0.6308,0.4947,0.1571,0.0206,0.4947,0.2346,0.0398,0.1372
2154,625,7536,12284,15,4,0.4937,0.4695,0.6486,0.4938,0.1457,0.0181,0.4938,0.2224,0.0352,0.1288
2114,616,7585,12284,15,5,0.493,0.4498,0.6529,0.4944,0.1528,0.0199,0.4944,0.2282,0.0386,0.1334
2130,615,7570,12284,15,6,0.4915,0.4416,0.6218,0.4937,0.1512,0.0186,0.4937,0.2252,0.0362,0.1307
2146,615,7554,12284,15,7,0.4915,0.4432,0.625,0.4935,0.1478,0.0189,0.4935,0.2216,0.0366,0.1291
