PositiveTrainSet,NegativeTrainSet,NeutralTrainSet,FeatureSetCode,TestSetLimit,Iteration,Accuracy,PrecisionPositive,PrecisionNegative,PrecisionNeutral,RecallPositive,RecallNegative,RecallNeutral,fScorePositive,fScoreNegative,fScoreAverage
1176,538,8601,12284,15,0,0.5204,0.4792,0.6937,0.5155,0.3011,0.1118,0.5155,0.3698,0.1926,0.2812
2916,787,6612,12284,15,1,0.4975,0.4801,0.75,0.4994,0.2594,0.0008,0.4994,0.3368,0.0016,0.1692
2920,542,6853,12284,15,2,0.4753,0.3945,0.5,0.5048,0.5474,0.0003,0.5048,0.4586,0.0006,0.2296
4131,539,5645,12284,15,3,0.3594,0.279,1,0.4704,0.8371,0.0003,0.4704,0.4186,0.0006,0.2096
5636,538,4141,12284,15,4,0.2182,0.2057,0,0.3774,0.9865,0,0.3774,0.3404,0,0.1702
7689,538,2088,12284,15,5,0.1933,0.1933,0,0,1,0,0,0.324,0,0.162
8054,538,1723,12284,15,6,0.1933,0.1933,0,0,1,0,0,0.324,0,0.162
8054,538,1723,12284,15,7,0.1933,0.1933,0,0,1,0,0,0.324,0,0.162
8054,538,1723,12284,15,8,0.1933,0.1933,0,0,1,0,0,0.324,0,0.162
8054,538,1723,12284,15,9,0.1933,0.1933,0,0,1,0,0,0.324,0,0.162
8054,538,1723,12284,15,10,0.1933,0.1933,0,0,1,0,0,0.324,0,0.162
